time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
215,0,1,610.51,2.90,59,51.451991,5.493891,18.00,155,2
216,0,1,613.62,2.65,60,51.451981,5.493935,18.00,155,3
217,0,1,617.12,2.75,60,51.451971,5.493979,18.00,155,3
218,0,1,620.21,2.69,60,51.451960,5.494023,18.00,155,3
219,0,1,623.52,2.84,61,51.451949,5.494067,19.00,154,2
220,0,1,626.56,3.01,61,51.451937,5.494111,19.00,154,5
221,0,1,630.09,3.03,61,51.451925,5.494154,19.00,154,5
222,0,1,633.43,2.87,61,51.451913,5.494196,19.00,155,3
223,0,1,636.33,2.85,62,51.451900,5.494238,19.00,155,2
224,0,1,639.88,3.11,62,51.451887,5.494279,19.00,155,3
225,0,1,643.50,3.21,62,51.451874,5.494320,19.00,156,3
226,0,1,646.03,2.80,63,51.451861,5.494359,19.00,156,2
227,0,1,649.04,2.61,63,51.451848,5.494397,19.00,156,3
228,0,1,651.91,2.44,63,51.451834,5.494434,19.00,155,3
229,0,1,655.61,2.37,63,51.451821,5.494469,19.00,155,2
230,0,1,658.59,2.55,64,51.451808,5.494503,19.00,155,3
231,0,1,661.22,2.35,64,51.451796,5.494536,19.00,154,3
232,0,1,663.86,2.35,64,51.451783,5.494568,19.00,154,2
233,0,1,666.65,2.54,64,51.451771,5.494601,19.00,153,3
234,0,1,669.54,2.61,65,51.451759,5.494634,19.00,152,2
235,0,1,671.78,2.60,65,51.451747,5.494669,20.00,151,3
236,0,1,674.81,2.75,65,51.451735,5.494705,20.00,151,2
237,0,1,677.83,2.71,66,51.451724,5.494743,20.00,151,3
238,0,1,680.34,2.54,66,51.451712,5.494782,20.00,151,3
239,0,1,683.44,2.64,66,51.451701,5.494823,20.00,151,2
240,0,1,686.39,2.64,66,51.451689,5.494865,20.00,152,3
241,0,1,689.36,2.90,67,51.451677,5.494906,20.00,151,2
242,0,1,692.53,2.91,67,51.451665,5.494947,20.00,151,3
243,0,1,695.65,2.89,67,51.451653,5.494988,20.00,151,5
244,0,1,698.62,2.88,68,51.451639,5.495027,20.00,150,5
245,0,1,701.61,2.74,68,51.451626,5.495066,20.00,150,3
246,0,1,704.52,2.66,68,51.451612,5.495104,20.00,150,3
247,0,1,707.99,2.70,68,51.451598,5.495141,20.00,150,2
248,0,1,711.06,2.73,69,51.451583,5.495178,20.00,151,3
249,0,1,713.75,2.35,69,51.451568,5.495214,20.00,151,3
250,0,1,717.03,2.79,69,51.451553,5.495250,19.00,152,3
251,0,1,720.23,2.85,70,51.451538,5.495286,19.00,152,3
252,0,1,723.42,2.84,70,51.451523,5.495321,19.00,153,2
253,0,1,726.00,2.70,70,51.451508,5.495356,19.00,153,3
254,0,1,729.16,2.81,70,51.451493,5.495391,19.00,153,3
255,0,1,732.13,2.63,71,51.451478,5.495425,19.00,153,2
256,0,1,735.12,2.66,71,51.451463,5.495460,19.00,154,3
257,0,1,737.81,2.35,71,51.451448,5.495495,19.00,154,2
258,0,1,740.77,2.62,71,51.451434,5.495529,19.00,154,3
259,0,1,743.95,2.61,72,51.451419,5.495563,19.00,154,3
260,0,1,746.80,2.51,72,51.451404,5.495597,19.00,154,2
261,0,1,749.67,2.56,72,51.451389,5.495631,19.00,154,3
262,0,1,752.57,2.57,73,51.451374,5.495665,19.00,154,2
263,0,1,755.67,2.78,73,51.451359,5.495699,19.00,154,3
264,0,1,758.77,2.73,73,51.451344,5.495733,19.00,153,3
265,0,1,761.47,2.64,73,51.451328,5.495766,19.00,153,2
266,0,1,764.21,2.37,74,51.451313,5.495799,19.00,153,3
267,0,1,766.74,2.17,74,51.451297,5.495832,19.00,153,3
268,0,1,770.38,2.29,74,51.451281,5.495865,19.00,153,2
269,0,1,773.22,2.35,75,51.451264,5.495898,18.00,153,2
270,0,1,776.11,2.52,75,51.451248,5.495931,18.00,153,3
271,0,1,778.59,2.57,75,51.451231,5.495964,18.00,153,3
272,0,1,781.56,2.63,75,51.451214,5.495996,18.00,154,2
273,0,1,784.74,2.83,76,51.451197,5.496029,18.00,154,3
274,0,1,787.25,2.80,76,51.451180,5.496061,18.00,154,3
275,0,1,790.34,2.72,76,51.451162,5.496094,18.00,155,2
276,0,1,793.32,2.61,77,51.451144,5.496126,18.00,155,3
277,0,1,796.28,2.86,77,51.451127,5.496159,18.00,157,2
278,0,1,799.32,2.70,77,51.451109,5.496192,18.00,157,3
279,0,1,802.42,2.75,77,51.451091,5.496224,18.00,158,3
280,0,1,805.29,2.88,78,51.451073,5.496257,18.00,158,5
281,0,1,808.51,2.87,78,51.451054,5.496290,18.00,158,5
282,0,1,811.76,2.90,78,51.451036,5.496323,18.00,159,2
283,0,1,814.28,3.01,78,51.451018,5.496356,18.00,159,3
284,0,1,817.49,2.86,79,51.451000,5.496389,18.00,159,3
285,0,1,820.61,2.77,79,51.450981,5.496421,19.00,159,2
286,0,1,823.46,2.83,79,51.450963,5.496453,19.00,159,3
287,0,1,826.76,2.95,80,51.450944,5.496485,19.00,159,3
288,0,1,830.11,2.94,80,51.450925,5.496517,19.00,159,2
289,0,1,832.50,2.95,80,51.450907,5.496548,19.00,159,3
290,0,1,835.89,2.98,80,51.450888,5.496579,19.00,159,3
291,0,1,839.07,2.77,81,51.450869,5.496608,19.00,159,2
292,0,1,841.73,2.77,81,51.450850,5.496637,19.00,159,3
293,0,1,844.78,2.68,81,51.450831,5.496666,19.00,159,2
294,0,1,847.69,2.54,82,51.450811,5.496693,19.00,159,3
295,0,1,850.66,2.44,82,51.450792,5.496720,19.00,159,2
296,0,1,853.66,2.63,82,51.450773,5.496746,19.00,159,3
297,0,1,856.64,2.46,82,51.450753,5.496771,19.00,160,3
298,0,1,858.95,2.46,83,51.450733,5.496796,19.00,160,2
299,0,1,861.88,2.56,83,51.450713,5.496820,19.00,160,3
300,0,1,864.91,2.72,83,51.450693,5.496845,19.00,160,3
301,0,1,867.07,2.75,84,51.450673,5.496869,19.00,160,2
302,0,1,870.24,2.85,84,51.450653,5.496894,19.00,160,3
303,0,1,873.54,2.98,84,51.450632,5.496918,19.00,161,2
304,0,1,875.57,2.78,84,51.450612,5.496943,20.00,161,3
305,0,1,878.49,2.55,85,51.450591,5.496968,20.00,161,3
306,0,1,881.39,2.59,85,51.450569,5.496994,20.00,161,2
307,0,1,884.49,2.56,85,51.450548,5.497020,20.00,161,3
308,0,1,887.49,2.63,85,51.450526,5.497046,20.00,161,2
309,0,1,890.81,2.91,86,51.450504,5.497073,20.00,161,3
310,0,1,893.23,2.94,86,51.450482,5.497100,20.00,161,3
311,0,1,896.46,2.82,86,51.450460,5.497126,20.00,161,2
312,0,1,899.59,2.75,87,51.450437,5.497153,20.00,161,3
313,0,1,902.41,2.98,87,51.450415,5.497180,20.00,161,3
314,0,1,905.71,2.98,87,51.450392,5.497206,20.00,161,2
315,0,1,908.89,2.89,87,51.450368,5.497232,20.00,161,3
316,0,1,911.74,3.18,88,51.450345,5.497258,20.00,161,3
317,0,1,915.10,3.07,88,51.450321,5.497283,20.00,161,2
318,0,1,918.38,2.99,88,51.450297,5.497308,20.00,161,2
319,0,1,921.26,3.02,89,51.450273,5.497332,20.00,161,3
320,0,1,924.37,2.79,89,51.450248,5.497356,20.00,161,3
321,0,1,927.50,2.81,89,51.450223,5.497378,20.00,161,2
322,0,1,930.77,2.93,89,51.450198,5.497401,21.00,161,3
323,0,1,933.97,2.88,90,51.450173,5.497422,21.00,161,3
324,0,1,937.28,2.96,90,51.450148,5.497443,21.00,161,2
325,0,1,939.92,3.08,90,51.450123,5.497463,21.00,161,3
326,0,1,943.37,3.10,91,51.450098,5.497483,21.00,161,3
327,0,1,946.61,2.92,91,51.450073,5.497502,21.00,161,2
328,0,1,949.32,3.03,91,51.450048,5.497520,21.00,161,3
329,0,1,952.65,3.01,91,51.450023,5.497538,21.00,161,3
330,0,1,955.89,2.92,92,51.449998,5.497556,21.00,161,2
331,0,1,958.78,2.98,92,51.449973,5.497572,21.00,161,3
332,0,1,962.04,2.97,92,51.449948,5.497588,21.00,161,3
333,0,1,965.18,2.82,92,51.449924,5.497604,21.00,161,2
334,0,1,968.06,2.84,93,51.449899,5.497620,21.00,161,3
335,0,1,971.12,2.75,93,51.449875,5.497636,21.00,161,2
336,0,1,974.17,2.71,93,51.449851,5.497652,21.00,161,3
337,0,1,976.98,2.64,94,51.449827,5.497669,21.00,160,2
338,0,1,979.96,2.64,94,51.449803,5.497687,21.00,160,3
339,0,1,983.15,2.84,94,51.449779,5.497706,20.00,160,3
340,0,1,985.46,2.69,94,51.449756,5.497726,20.00,160,5
341,0,1,988.71,2.99,95,51.449732,5.497747,20.00,160,5
342,0,1,992.08,3.11,95,51.449708,5.497768,20.00,160,3
343,0,1,994.09,2.97,95,51.449685,5.497790,20.00,160,2
344,0,1,997.22,2.90,96,51.449661,5.497812,20.00,160,3
345,0,1,1000.48,3.03,96,51.449637,5.497834,20.00,160,2
346,0,1,1003.39,2.96,96,51.449614,5.497857,20.00,160,3
347,0,1,1006.54,2.92,96,51.449590,5.497879,20.00,160,3
348,0,1,1009.84,3.07,97,51.449567,5.497901,20.00,160,3
349,0,1,1012.62,2.83,97,51.449543,5.497924,20.00,160,2
350,0,1,1015.53,2.69,97,51.449520,5.497945,20.00,161,2
351,0,1,1018.56,2.75,98,51.449497,5.497967,20.00,161,3
352,0,1,1021.61,2.83,98,51.449473,5.497989,20.00,161,3
353,0,1,1024.77,2.84,98,51.449450,5.498010,20.00,160,2
354,0,1,1027.92,2.83,98,51.449427,5.498030,20.00,160,3
355,0,1,1030.33,2.75,99,51.449404,5.498050,20.00,160,3
356,0,1,1033.35,2.71,99,51.449381,5.498070,20.00,160,2
357,0,1,1036.34,2.68,99,51.449359,5.498089,20.00,160,3
358,0,1,1039.21,2.60,99,51.449336,5.498108,19.00,160,3
359,0,1,1042.14,2.65,100,51.449313,5.498126,19.00,161,2
360,0,1,1045.20,2.72,100,51.449290,5.498145,19.00,161,2
361,0,1,1047.83,2.83,100,51.449266,5.498163,19.00,162,3
362,0,1,1050.75,2.61,101,51.449242,5.498183,19.00,162,3
363,0,1,1053.86,2.79,101,51.449217,5.498202,19.00,162,2
364,0,1,1056.68,2.96,101,51.449192,5.498223,19.00,162,3
365,0,1,1060.01,3.01,101,51.449166,5.498244,19.00,163,3
366,0,1,1063.39,3.06,102,51.449140,5.498265,19.00,163,2
367,0,1,1065.94,3.12,102,51.449113,5.498287,19.00,163,3
368,0,1,1069.37,3.08,102,51.449087,5.498308,19.00,164,3
